IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
0.2,5.67,9.24,5.1,0.7,0.46,0.22,9.14,8.3,0.46,0.84,0.46,0.19,0.86,5.62,9.77,5.46,1.22,0.97,0.13,0.16,0.35,4.15,0.01,0.84,0.08,0.13,0.01,0.41,1.03,0.46,0.01,1.29,0.05,0.46,3.21,0.06,0.13
0.93,2.74,6.66,3.57,0.81,1.14,0.27,6.46,5.86,2.23,1.65,0.35,1.22,2.22,2.68,7.12,4.55,1.96,0.81,1.56,2.85,0.86,2.42,0.01,1.65,0.0,2.77,2.88,2.18,0.0,1.89,0.8,0.55,0.92,0.93,0.51,0.0,2.67
3.66,0.67,3.54,1.52,0.0,0.5,1.45,3.32,2.77,1.79,4.77,0.54,4.21,5.33,0.58,3.99,1.5,5.08,0.01,4.45,5.16,2.46,0.28,0.0,4.77,1.81,5.54,5.53,4.5,0.0,4.03,2.4,0.16,1.85,2.47,0.65,0.7,5.31
5.39,4.26,4.22,1.02,0.0,0.25,2.11,3.38,1.86,1.06,7.2,0.01,6.4,7.67,4.46,4.01,1.02,7.7,0.03,5.23,5.1,2.12,0.05,0.03,4.6,3.86,5.88,5.91,4.79,0.0,4.4,2.02,0.42,1.45,2.13,5.36,1.61,5.32
1.64,2.02,6.1,3.82,0.15,1.01,0.52,5.79,5.32,1.07,2.67,0.01,2.48,3.26,1.98,6.46,3.8,2.77,0.14,2.8,4.14,2.15,1.79,0.0,2.67,0.61,4.04,4.16,3.46,0.35,3.19,2.1,0.17,2.11,2.22,0.01,0.57,3.92
0.9,4.02,6.95,2.53,0.08,0.85,0.79,6.88,5.92,1.33,2.55,1.33,1.7,2.88,3.97,7.31,3.21,3.01,0.07,1.31,1.17,0.48,1.74,0.0,1.91,0.85,1.66,1.76,0.51,0.06,0.05,0.0,0.38,0.4,0.49,2.89,0.06,1.42
1.03,2.84,5.91,1.92,0.48,0.02,0.13,5.84,4.94,2.51,2.74,0.92,1.96,3.27,2.78,6.41,3.04,3.26,0.47,1.89,2.36,0.13,1.62,0.0,2.74,0.13,2.83,2.83,1.7,0.06,1.21,0.0,1.15,0.09,0.03,1.94,0.06,2.54
8.91,0.02,0.05,0.1,3.56,1.88,1.7,0.72,0.18,0.72,10.15,1.88,9.59,10.72,0.05,0.42,0.14,10.43,3.67,9.74,10.02,7.11,0.09,0.01,10.02,6.84,10.64,10.73,9.43,1.86,9.02,7.03,1.55,1.02,7.09,4.38,5.24,10.26
1.17,2.41,6.46,3.83,0.17,1.2,0.12,6.2,5.69,1.61,2.06,0.62,1.8,2.64,2.37,6.87,4.24,2.22,0.17,2.13,3.47,1.49,2.24,0.0,2.06,0.12,3.37,3.49,2.79,0.03,2.54,1.43,0.06,1.45,1.55,0.03,0.13,3.26
0.31,4.51,8.53,5.37,1.19,0.31,0.21,8.29,7.75,0.84,0.19,0.84,1.5,0.97,4.46,8.96,6.33,0.23,1.3,1.45,2.41,1.35,4.32,0.0,0.19,0.03,2.2,2.19,1.68,1.19,1.8,1.05,0.53,1.21,1.09,0.82,0.13,2.21
3.87,4.16,4.73,0.24,0.03,0.33,1.33,4.19,3.08,1.56,5.68,0.17,4.88,6.16,4.1,4.53,0.23,6.18,0.02,3.93,3.8,0.83,0.98,0.0,3.47,2.37,4.55,4.6,3.42,0.03,3.07,0.75,0.66,1.31,0.85,4.1,0.29,4.03
7.75,1.12,1.04,0.24,0.76,0.02,1.82,0.07,0.02,0.02,9.43,0.02,8.67,9.96,1.93,0.9,0.22,9.94,1.59,8.24,8.11,5.15,0.58,0.0,7.78,5.81,8.85,8.91,7.68,0.02,7.31,5.07,0.2,0.0,5.16,5.34,4.58,8.34
0.63,5.27,9.35,6.63,0.68,0.09,0.09,9.02,8.54,0.09,0.48,0.09,2.91,2.13,5.23,9.69,7.03,1.53,0.82,2.85,3.47,2.72,5.03,0.01,0.48,0.0,3.36,3.23,2.9,2.33,3.01,2.42,0.29,2.58,2.46,0.64,0.01,3.4
0.03,6.05,9.45,5.11,0.3,0.19,0.07,9.38,8.46,0.19,1.44,0.19,0.02,1.5,6.0,9.89,5.17,1.87,0.83,0.19,0.19,0.19,3.98,0.03,1.44,0.03,0.19,0.19,0.08,0.66,0.19,0.03,0.95,0.04,0.19,3.79,0.03,0.19
7.18,0.41,0.55,0.94,2.03,0.16,1.26,0.16,0.3,1.14,8.36,0.16,7.8,8.92,0.4,0.52,0.92,8.63,2.02,8.0,8.42,5.5,0.01,0.04,8.36,5.14,9.0,9.05,7.8,0.16,7.39,5.44,0.24,0.16,5.49,2.63,3.42,8.66
0.4,3.71,7.26,3.38,0.12,0.39,0.39,7.15,6.35,1.98,1.3,0.95,0.5,1.8,3.66,7.79,4.46,1.81,0.08,0.53,1.61,0.33,3.01,0.0,1.3,0.09,1.64,1.65,1.04,0.24,0.53,0.0,1.21,0.06,0.09,1.86,0.12,1.48
