Feature,Importance,Variance
RockUnits_LAO_Limestone,0.0,0.0
RockUnits_LAO_Monzonite,0.0,6.227080027034505e-05
RockUnits_LAO_Mudstone,0.0,0.0
RockUnits_LAO_Phyllite,0.0,0.0
RockUnits_LAO_Pyroclastic breccia,0.0,1.7820052585768867e-07
RockUnits_LAO_Pyroxenite,0.0,3.1604592558129988e-09
RockUnits_LAO_Rhyolite,0.0,1.1452291750515159e-07
RockUnits_LAO_Schist,0.0,5.6127645825169726e-09
RockUnits_LAO_Sedimentary rock,0.0,0.0
RockUnits_LAO_Tuff and lapilli tuff,0.0,2.5910432628362903e-06
