IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
2.81,1.05,4.21,1.98,0.28,0.64,0.7,4.06,3.39,2.39,4.06,0.12,3.44,4.61,1.0,4.71,2.35,4.44,0.32,3.62,4.3,1.67,0.12,0.0,4.06,0.97,4.7,4.69,3.64,0.01,3.16,1.57,0.83,2.02,1.61,1.06,0.71,4.46
0.1,3.69,7.66,4.44,0.64,0.15,0.04,7.45,6.86,1.72,0.74,0.33,0.84,1.32,3.64,8.11,5.51,0.96,0.64,1.03,2.45,0.78,3.42,0.0,0.74,0.01,2.25,2.4,1.66,0.36,1.66,0.63,0.2,0.39,0.78,0.75,0.03,2.11
6.51,1.51,1.42,0.07,0.49,0.88,1.62,0.88,0.15,0.31,8.16,0.07,7.41,8.7,1.63,1.2,0.05,8.66,0.6,7.17,7.04,4.18,0.01,0.08,6.81,4.53,7.76,7.82,6.56,0.01,6.18,4.09,0.0,0.01,4.2,4.12,3.6,7.27
3.41,1.1,4.7,2.21,0.21,0.31,1.69,4.22,3.7,0.31,4.45,0.15,4.14,5.03,1.06,4.9,2.19,4.55,0.21,4.48,5.73,3.53,0.74,0.01,4.45,1.89,5.68,5.77,5.08,1.0,4.64,3.17,0.23,3.07,3.19,0.02,0.88,5.58
0.53,3.49,7.1,3.34,0.35,0.56,0.29,6.97,6.22,2.23,1.32,0.7,0.55,1.85,3.44,7.62,4.44,1.84,0.31,0.76,1.84,0.11,2.94,0.02,1.32,0.23,1.85,1.89,1.24,0.1,0.78,0.02,1.23,0.04,0.12,1.62,0.04,1.71
5.42,2.58,2.47,0.21,0.1,0.01,2.56,1.94,0.93,0.05,7.1,0.14,6.34,7.64,2.53,2.25,0.19,7.61,0.23,6.05,5.92,3.11,0.05,0.04,5.71,3.49,6.63,6.7,5.44,0.0,5.06,3.01,0.4,0.11,3.13,3.67,2.5,6.15
6.39,1.45,1.33,0.11,0.37,0.81,1.42,0.81,0.2,0.49,7.99,0.06,7.26,8.53,1.41,1.12,0.09,8.47,0.54,7.16,7.03,4.25,0.02,0.0,6.85,4.37,7.73,7.8,6.52,0.05,6.13,4.15,0.07,0.0,4.27,3.76,3.65,7.26
0.17,5.73,9.51,5.64,1.55,0.01,0.01,9.36,8.64,0.01,0.01,0.01,1.02,0.28,5.68,10.02,6.25,0.44,1.8,0.48,0.6,0.14,4.89,0.01,0.01,0.05,0.58,0.36,0.15,1.87,0.21,0.02,1.33,0.55,0.08,2.68,0.55,0.58
3.57,3.34,4.17,0.23,0.04,0.02,1.32,3.9,2.88,1.86,5.33,0.21,4.55,5.85,3.29,4.21,0.55,5.85,0.05,4.07,3.94,1.3,0.37,0.0,3.8,1.83,4.65,4.72,3.46,0.01,3.08,1.22,1.46,1.48,1.3,3.38,0.58,4.17
3.92,3.73,4.19,0.26,0.21,0.01,1.59,3.76,2.76,1.74,5.7,0.26,4.91,6.22,3.68,4.08,0.26,6.21,0.22,4.25,4.13,1.29,0.79,0.02,3.89,2.24,4.86,4.92,3.69,0.04,3.32,1.2,1.08,1.63,1.32,3.79,0.68,4.36
2.59,1.03,4.52,2.19,0.16,0.38,0.38,4.35,3.71,2.27,3.75,0.03,3.16,4.3,0.97,5.01,2.57,4.11,0.14,3.38,4.18,1.72,0.28,0.0,3.75,0.92,4.48,4.46,3.52,0.0,3.01,1.43,0.83,1.87,1.44,0.78,0.5,4.25
0.5,4.04,7.2,2.93,0.45,0.45,0.4,7.13,6.2,1.42,2.06,1.42,1.22,2.4,3.98,7.63,3.69,2.52,0.51,0.83,1.22,0.07,2.22,0.02,2.06,0.45,1.57,1.55,0.66,0.03,0.02,0.02,0.52,0.04,0.09,2.62,0.09,1.24
7.34,1.01,1.01,0.26,0.7,0.18,1.44,0.18,0.54,0.54,8.99,0.18,8.24,9.53,1.53,0.86,0.33,9.49,1.43,7.93,7.8,4.89,0.22,0.0,7.53,5.37,8.53,8.59,7.34,0.12,6.97,4.81,0.12,0.0,4.91,4.8,4.32,8.03
1.41,3.59,7.62,5.19,0.36,0.13,0.45,7.21,6.65,0.13,1.98,0.13,2.89,2.99,3.55,7.86,5.17,2.27,0.35,3.08,4.43,2.76,3.31,0.0,1.96,1.07,4.17,4.21,3.63,1.43,3.69,2.68,0.47,2.43,2.79,0.0,1.51,4.1
0.33,4.35,8.43,5.69,0.42,0.11,0.17,8.12,7.66,0.98,0.68,0.08,2.16,1.8,4.3,8.8,6.13,1.06,0.5,2.21,3.25,2.15,4.12,0.0,0.66,0.01,3.04,3.02,2.52,1.4,2.64,1.84,0.19,1.75,1.9,0.04,0.4,3.04
0.5,5.1,8.45,4.15,0.04,0.13,0.13,8.38,7.47,0.58,1.53,0.58,0.49,1.55,5.05,8.9,4.49,1.84,0.04,0.05,0.22,0.52,3.17,0.0,1.53,0.04,0.32,0.29,0.3,0.13,0.58,0.0,0.52,0.21,0.58,3.13,0.04,0.07
4.81,3.32,3.21,0.1,0.09,0.15,2.6,2.68,1.67,0.68,6.54,0.52,5.76,7.07,3.26,2.99,0.74,7.05,0.07,5.33,5.2,2.36,0.09,0.03,4.98,2.96,5.92,5.99,4.74,0.0,4.36,2.27,0.61,0.8,2.39,3.74,1.76,5.43
6.79,1.35,1.31,0.12,0.59,0.71,1.58,0.71,0.35,0.29,8.45,0.32,7.7,8.99,1.62,1.1,0.1,8.96,0.9,7.4,7.28,4.39,0.04,0.08,7.02,4.83,8.0,8.06,6.81,0.03,6.43,4.3,0.05,0.0,4.41,4.41,3.81,7.51
4.64,3.51,3.38,0.2,0.05,0.09,2.41,2.86,1.86,0.85,6.37,0.63,5.6,6.9,3.44,3.18,0.55,6.89,0.07,5.14,5.01,2.18,0.23,0.01,4.79,2.81,5.73,5.79,4.55,0.02,4.17,2.09,0.75,0.98,2.2,3.72,1.58,5.24
5.18,2.22,1.76,0.04,0.29,0.18,2.26,1.69,0.81,0.45,6.64,0.21,5.96,7.18,2.2,2.32,0.06,7.04,0.37,6.03,6.18,3.27,0.1,0.02,6.21,3.09,6.81,6.89,5.6,0.04,5.19,3.19,0.05,0.14,3.26,2.2,2.44,6.42
0.28,5.0,8.77,4.97,1.09,0.72,0.01,8.62,7.91,0.72,0.09,0.72,0.62,0.28,4.94,9.28,5.8,0.42,1.08,0.24,1.06,0.03,4.37,0.0,0.09,0.01,0.77,0.89,0.21,1.52,0.32,0.0,0.61,0.26,0.03,2.27,0.19,0.73
7.14,0.6,0.48,0.71,1.22,0.05,0.54,0.05,0.44,1.33,8.69,0.05,7.98,9.23,0.55,0.31,0.83,9.12,1.34,8.0,7.88,5.09,0.05,0.01,7.73,5.09,8.57,8.64,7.36,0.05,6.96,4.99,0.12,0.04,5.07,3.99,4.39,8.12
3.1,5.1,6.7,2.05,0.01,0.44,0.44,6.24,4.98,0.44,4.76,0.44,3.87,4.99,5.04,6.6,0.99,5.2,0.03,2.14,2.02,0.26,0.49,0.0,1.46,2.63,2.79,2.82,1.79,0.01,1.26,0.0,0.97,0.17,0.25,4.53,0.61,2.23
4.67,2.64,2.36,0.44,0.02,0.36,2.6,2.29,1.3,0.72,6.2,0.84,5.49,6.75,2.55,2.79,0.5,6.65,0.01,5.52,5.58,2.69,0.14,0.0,5.59,2.6,6.22,6.31,5.01,0.02,4.6,2.6,0.06,0.17,2.68,2.38,2.37,5.82
0.2,3.72,7.79,4.97,0.97,0.27,0.3,7.51,7.02,1.4,1.05,0.13,1.64,1.74,3.68,8.19,5.53,1.09,0.96,1.79,3.15,1.57,3.52,0.0,1.05,0.07,2.88,2.94,2.33,0.71,2.38,1.41,0.1,1.18,1.57,0.17,0.3,2.79
8.21,0.2,0.01,1.05,3.04,0.88,1.72,0.17,0.01,0.17,9.33,0.88,8.8,9.9,0.17,0.01,1.08,9.57,3.03,9.02,9.47,6.55,0.17,0.01,9.33,6.19,10.05,10.08,8.85,0.87,8.43,6.49,1.02,0.01,6.54,3.39,4.35,9.71
6.11,1.28,0.84,0.08,0.76,0.45,1.32,0.77,0.1,0.8,7.54,0.36,6.88,8.09,1.26,1.38,0.07,7.92,0.92,6.97,7.1,4.2,0.1,0.05,7.1,4.03,7.74,7.82,6.53,0.08,6.12,4.12,0.04,0.33,4.19,2.66,3.06,7.34
8.01,0.0,0.09,0.7,2.68,1.14,0.9,0.88,0.05,0.88,9.29,1.14,8.71,9.85,0.04,0.2,0.73,9.59,2.82,8.85,9.12,6.2,0.09,0.06,9.13,5.94,9.74,9.82,8.53,1.14,8.12,6.12,0.69,0.65,6.19,3.66,4.42,9.35
4.52,4.49,4.41,0.24,0.08,0.22,1.83,3.74,2.5,1.28,6.32,0.64,5.53,6.81,4.52,4.19,0.24,6.83,0.11,4.5,4.38,1.36,0.49,0.02,3.97,2.98,5.14,5.18,4.02,0.03,3.68,1.27,0.45,1.73,1.37,4.64,0.8,4.6
1.95,4.16,6.4,1.69,0.43,1.43,0.79,6.25,5.23,1.54,3.69,1.43,2.86,4.02,4.1,6.56,2.12,4.16,0.43,1.71,1.58,0.77,0.61,0.04,1.61,1.6,2.3,2.36,1.14,0.01,0.78,0.04,0.17,0.61,0.78,3.45,0.17,1.82
0.71,5.26,8.47,4.05,0.32,0.22,0.05,8.4,7.45,0.36,1.9,0.36,0.7,1.91,5.2,8.85,4.2,2.21,0.25,0.21,0.14,0.36,2.94,0.03,1.9,0.22,0.36,0.34,0.36,0.02,0.36,0.03,0.17,0.15,0.36,3.45,0.32,0.04
7.12,1.02,1.09,0.87,1.77,0.3,2.28,0.42,0.15,0.3,8.1,0.3,7.61,8.67,1.0,1.06,0.85,8.29,1.76,7.91,8.55,5.69,0.42,0.01,8.1,5.19,9.01,9.0,7.9,0.08,7.47,5.62,0.08,0.04,5.68,2.02,3.1,8.78
5.77,3.09,3.04,0.26,0.01,0.28,3.22,2.25,1.03,0.16,7.53,0.0,6.75,8.06,3.29,2.83,0.37,8.05,0.0,5.99,5.87,2.87,0.12,0.0,5.49,4.0,6.62,6.67,5.48,0.0,5.12,2.78,0.82,0.68,2.88,4.78,2.3,6.09
6.6,4.24,4.16,0.13,0.0,0.57,2.88,3.2,1.2,0.57,8.41,0.03,7.61,8.86,4.65,4.03,0.23,8.91,0.08,6.3,6.18,3.0,0.04,0.01,5.59,5.08,6.95,6.98,5.91,0.0,5.39,2.98,0.54,0.73,3.29,6.38,2.81,6.39
5.11,5.15,5.11,1.01,0.04,0.24,1.26,4.27,2.67,0.24,6.91,0.04,6.11,7.29,5.33,4.9,1.0,7.4,0.11,4.63,4.51,1.34,0.06,0.03,3.91,3.82,5.28,5.31,4.27,0.03,3.71,1.31,0.78,1.54,1.72,5.59,1.28,4.72
